District,Province,Year,Setting,Pass_Rate_Pct,Number_of_Students,Number_of_Schools,Pupil_Teacher_Ratio,Textbook_Availability_Index,ICT_Resource_Index,School_Infrastructure_Index,Proportion_Schools_With_Science_Labs,Poverty_Incidence_Pct,Adult_Literacy_Rate_Pct,Unemployment_Rate_Pct,Avg_Household_Income_USD,Youth_Population_Density,Rural_Urban,Distance_to_Exam_Center_km,Previous_Year_Pass_Rate_Pct,Grade7_Pass_Rate_Pct
Mount Darwin,Mashonaland Central,2018,June,24.9,2003,27,57.7,0.2,0.3,0.21,0.26,59.3,72.9,45.3,122.0,45.8,Rural,22.9,27.4,44.3
Mount Darwin,Mashonaland Central,2018,November,29.1,3704,27,55.1,0.21,0.27,0.21,0.24,60.2,72.5,40.5,118.0,44.8,Rural,22.3,24.9,42.7
Mount Darwin,Mashonaland Central,2019,June,24.8,2072,27,54.3,0.22,0.3,0.21,0.25,58.9,75.5,43.3,123.0,44.2,Rural,21.4,29.1,45.4
Mount Darwin,Mashonaland Central,2019,November,31.0,3817,27,57.5,0.21,0.32,0.22,0.27,59.1,73.3,44.6,131.0,45.8,Rural,21.2,24.8,41.9
Mount Darwin,Mashonaland Central,2020,June,20.7,2106,27,58.9,0.2,0.32,0.22,0.26,65.3,75.5,49.7,115.0,45.2,Rural,22.5,31.0,36.2
Mount Darwin,Mashonaland Central,2020,November,24.9,3832,28,58.9,0.21,0.33,0.21,0.26,64.9,72.8,46.0,105.0,45.8,Rural,22.7,20.7,37.8
Mount Darwin,Mashonaland Central,2021,June,20.4,2121,28,59.4,0.22,0.35,0.23,0.28,63.9,74.3,46.2,112.0,48.0,Rural,21.3,24.9,42.0
Mount Darwin,Mashonaland Central,2021,November,26.7,3816,28,61.4,0.2,0.32,0.24,0.29,62.1,73.4,50.1,108.0,48.1,Rural,20.7,20.4,41.2
Mount Darwin,Mashonaland Central,2022,June,26.3,2089,28,56.2,0.25,0.42,0.25,0.29,58.5,74.0,42.7,137.0,47.0,Rural,20.4,26.7,41.5
Mount Darwin,Mashonaland Central,2022,November,29.6,3940,28,53.2,0.26,0.43,0.25,0.28,60.3,75.9,42.5,129.0,48.6,Rural,20.7,26.3,41.9
Mount Darwin,Mashonaland Central,2023,June,25.8,2195,28,53.6,0.27,0.43,0.25,0.31,55.4,74.3,41.2,139.0,46.7,Rural,20.9,29.6,45.2
Mount Darwin,Mashonaland Central,2023,November,31.3,3977,28,56.1,0.26,0.44,0.25,0.28,55.9,75.8,41.8,137.0,48.9,Rural,22.0,25.8,44.9
Mount Darwin,Mashonaland Central,2024,June,28.5,2174,29,53.9,0.29,0.47,0.26,0.31,56.7,76.3,42.9,144.0,46.5,Rural,20.4,31.3,43.3
Mount Darwin,Mashonaland Central,2024,November,33.6,4054,29,53.3,0.28,0.47,0.26,0.31,56.1,76.3,44.1,136.0,48.9,Rural,20.6,28.5,44.8
Muzarabani,Mashonaland Central,2015,June,24.1,2172,29,55.6,0.37,0.1,0.25,0.25,61.4,62.0,42.4,138.0,36.5,Rural,27.9,21.7,54.1
Muzarabani,Mashonaland Central,2015,November,30.4,3950,28,57.0,0.35,0.09,0.24,0.26,63.5,60.2,38.3,135.0,37.3,Rural,27.1,24.1,53.1
Muzarabani,Mashonaland Central,2016,June,24.6,2162,29,55.1,0.36,0.12,0.25,0.25,63.0,60.3,37.8,135.0,37.7,Rural,27.7,30.4,50.2
Muzarabani,Mashonaland Central,2016,November,32.7,4160,28,54.5,0.38,0.12,0.26,0.27,63.1,60.2,41.0,142.0,35.5,Rural,26.4,24.6,49.8
Muzarabani,Mashonaland Central,2017,June,28.4,2189,29,52.9,0.38,0.13,0.27,0.26,59.9,61.3,40.6,133.0,38.4,Rural,25.0,32.7,50.2
Muzarabani,Mashonaland Central,2017,November,31.2,4077,29,54.1,0.39,0.13,0.26,0.27,59.3,60.7,40.2,144.0,38.5,Rural,25.0,28.4,52.8
Muzarabani,Mashonaland Central,2018,June,27.7,2268,29,55.1,0.39,0.15,0.28,0.26,61.9,61.0,41.7,138.0,38.6,Rural,26.8,31.2,54.3
Muzarabani,Mashonaland Central,2018,November,32.2,4070,29,54.9,0.39,0.16,0.27,0.27,58.9,61.0,40.9,142.0,37.6,Rural,25.9,27.7,55.0
Muzarabani,Mashonaland Central,2019,June,27.7,2259,30,55.1,0.4,0.18,0.28,0.29,58.8,61.4,40.4,148.0,37.9,Rural,26.1,32.2,52.6
Muzarabani,Mashonaland Central,2019,November,35.0,4127,29,52.8,0.39,0.16,0.28,0.29,57.9,61.9,41.3,140.0,38.2,Rural,26.7,27.7,52.3
Muzarabani,Mashonaland Central,2020,June,23.0,2369,30,58.3,0.39,0.19,0.3,0.3,63.3,61.4,47.1,120.0,39.9,Rural,24.5,35.0,48.5
Muzarabani,Mashonaland Central,2020,November,27.1,4230,29,55.6,0.37,0.19,0.29,0.29,64.7,61.8,49.5,125.0,38.4,Rural,25.9,23.0,48.5
Muzarabani,Mashonaland Central,2021,June,23.2,2353,30,55.8,0.42,0.21,0.3,0.3,64.8,62.2,44.2,136.0,39.6,Rural,24.4,27.1,52.2
Muzarabani,Mashonaland Central,2021,November,30.9,4461,30,57.0,0.41,0.21,0.31,0.29,67.0,63.3,50.6,134.0,40.5,Rural,25.6,23.2,51.4
Muzarabani,Mashonaland Central,2022,June,27.6,2378,30,53.5,0.43,0.26,0.32,0.3,59.0,63.2,38.0,158.0,39.0,Rural,24.4,30.9,54.4
Muzarabani,Mashonaland Central,2022,November,31.6,4499,30,54.3,0.43,0.26,0.31,0.32,60.3,62.3,42.5,155.0,39.8,Rural,25.6,27.6,51.9
Muzarabani,Mashonaland Central,2023,June,30.8,2350,30,51.5,0.45,0.27,0.32,0.33,56.8,63.6,41.6,149.0,41.2,Rural,24.9,31.6,55.9
Muzarabani,Mashonaland Central,2023,November,34.2,4460,30,50.2,0.47,0.3,0.33,0.31,57.2,63.9,39.7,149.0,38.5,Rural,25.8,30.8,57.0
Muzarabani,Mashonaland Central,2024,June,30.6,2407,31,52.4,0.46,0.31,0.33,0.32,60.5,63.7,40.8,160.0,39.5,Rural,25.9,34.2,58.0
Muzarabani,Mashonaland Central,2024,November,34.9,4619,31,53.4,0.49,0.31,0.34,0.34,56.7,62.9,41.6,162.0,39.3,Rural,23.5,30.6,58.5
Rushinga,Mashonaland Central,2015,June,33.3,1570,8,53.3,0.19,0.06,0.24,0.05,65.2,65.9,39.3,95.0,47.6,Rural,35.7,31.3,52.4
Rushinga,Mashonaland Central,2015,November,39.6,2897,8,52.5,0.2,0.06,0.22,0.05,64.2,67.5,43.5,96.0,47.0,Rural,35.3,33.3,51.6
Rushinga,Mashonaland Central,2016,June,35.3,1530,8,53.2,0.21,0.08,0.25,0.06,63.4,66.1,40.5,88.0,49.3,Rural,34.7,39.6,52.9
Rushinga,Mashonaland Central,2016,November,38.6,2860,7,55.1,0.22,0.07,0.24,0.06,65.1,66.4,42.3,98.0,46.1,Rural,34.4,35.3,51.0
Rushinga,Mashonaland Central,2017,June,36.4,1608,8,53.6,0.22,0.09,0.25,0.07,62.2,68.1,40.9,96.0,48.1,Rural,35.7,38.6,50.9
Rushinga,Mashonaland Central,2017,November,39.7,3024,8,52.7,0.22,0.09,0.25,0.07,61.0,65.8,40.9,99.0,46.7,Rural,36.4,36.4,50.7
Rushinga,Mashonaland Central,2018,June,37.1,1643,8,50.4,0.23,0.11,0.26,0.08,61.6,67.1,42.1,97.0,48.7,Rural,35.5,39.7,50.8
Rushinga,Mashonaland Central,2018,November,42.8,2945,8,53.7,0.23,0.11,0.25,0.08,61.8,67.2,40.5,99.0,47.4,Rural,36.8,37.1,48.3
Rushinga,Mashonaland Central,2019,June,39.5,1669,8,52.2,0.26,0.13,0.27,0.09,61.1,68.4,40.0,98.0,48.2,Rural,34.9,42.8,54.4
Rushinga,Mashonaland Central,2019,November,44.1,3028,8,50.6,0.24,0.13,0.28,0.08,63.2,68.6,39.8,99.0,50.2,Rural,35.2,39.5,50.7
Rushinga,Mashonaland Central,2020,June,31.4,1639,8,54.0,0.24,0.15,0.27,0.1,68.3,68.4,46.2,87.0,49.0,Rural,33.3,44.1,47.0
Rushinga,Mashonaland Central,2020,November,36.3,3153,8,54.0,0.24,0.15,0.27,0.09,67.2,67.8,46.9,84.0,48.7,Rural,35.2,31.4,49.3
Rushinga,Mashonaland Central,2021,June,34.8,1707,8,55.9,0.25,0.17,0.3,0.1,64.3,66.5,45.1,86.0,51.8,Rural,34.5,36.3,46.9
Rushinga,Mashonaland Central,2021,November,39.7,3148,8,55.9,0.25,0.16,0.3,0.1,64.3,67.7,50.0,83.0,50.4,Rural,36.1,34.8,51.5
Rushinga,Mashonaland Central,2022,June,40.4,1739,8,52.1,0.29,0.23,0.3,0.1,58.0,67.2,38.8,103.0,52.7,Rural,33.1,39.7,53.2
Rushinga,Mashonaland Central,2022,November,44.4,3122,8,51.7,0.3,0.24,0.3,0.11,59.8,67.7,42.4,102.0,51.8,Rural,32.5,40.4,49.1
Rushinga,Mashonaland Central,2023,June,37.6,1690,8,49.6,0.31,0.25,0.32,0.12,58.3,68.6,41.1,106.0,52.3,Rural,33.5,44.4,52.1
Rushinga,Mashonaland Central,2023,November,46.6,3190,8,50.5,0.3,0.26,0.3,0.12,57.9,67.5,41.1,108.0,53.1,Rural,32.3,37.6,51.8
Rushinga,Mashonaland Central,2024,June,42.9,1782,8,50.4,0.32,0.26,0.31,0.13,58.1,67.9,43.2,113.0,51.7,Rural,32.6,46.6,56.3
Rushinga,Mashonaland Central,2024,November,47.9,3179,8,47.7,0.32,0.28,0.31,0.12,61.3,67.6,40.8,113.0,50.6,Rural,35.1,42.9,50.7
Shamva,Mashonaland Central,2015,June,30.8,554,14,49.3,0.24,0.15,0.33,0.1,74.9,63.6,40.5,120.0,33.5,Rural,47.0,33.8,40.5
Shamva,Mashonaland Central,2015,November,36.1,1041,15,50.8,0.25,0.16,0.33,0.1,76.7,62.0,38.6,124.0,34.4,Rural,48.8,30.8,39.0
Shamva,Mashonaland Central,2016,June,29.7,584,15,51.9,0.26,0.17,0.32,0.11,73.6,63.4,40.0,131.0,34.8,Rural,46.3,36.1,41.2
Shamva,Mashonaland Central,2016,November,37.9,1072,15,49.4,0.26,0.18,0.32,0.11,77.4,61.9,39.9,126.0,34.8,Rural,46.8,29.7,38.9
Shamva,Mashonaland Central,2017,June,30.6,577,15,48.1,0.27,0.2,0.33,0.11,71.9,62.0,40.5,123.0,35.1,Rural,46.8,37.9,39.9
Shamva,Mashonaland Central,2017,November,38.9,1067,15,48.9,0.28,0.19,0.33,0.12,77.6,63.0,43.1,131.0,34.8,Rural,48.4,30.6,42.2
Shamva,Mashonaland Central,2018,June,32.3,586,15,49.4,0.28,0.2,0.36,0.12,74.2,63.5,43.7,130.0,35.2,Rural,44.6,38.9,43.3
Shamva,Mashonaland Central,2018,November,36.1,1093,15,48.0,0.29,0.21,0.34,0.13,74.3,62.8,39.9,125.0,35.7,Rural,47.5,32.3,44.1
Shamva,Mashonaland Central,2019,June,33.7,616,15,50.4,0.29,0.24,0.37,0.13,73.5,63.2,38.4,126.0,35.8,Rural,47.1,36.1,40.8
Shamva,Mashonaland Central,2019,November,41.2,1091,15,47.7,0.3,0.23,0.35,0.13,73.5,64.0,41.1,130.0,34.6,Rural,44.8,33.7,40.8
Shamva,Mashonaland Central,2020,June,26.7,617,15,53.2,0.29,0.25,0.37,0.14,81.4,64.7,48.9,110.0,36.4,Rural,44.0,41.2,41.4
Shamva,Mashonaland Central,2020,November,34.3,1134,15,54.1,0.29,0.24,0.38,0.14,76.2,64.7,48.8,113.0,35.1,Rural,46.8,26.7,36.9
Shamva,Mashonaland Central,2021,June,28.7,613,15,52.0,0.28,0.26,0.38,0.14,77.4,63.3,49.1,113.0,37.8,Rural,46.0,34.3,39.9
Shamva,Mashonaland Central,2021,November,32.6,1171,15,54.0,0.3,0.28,0.39,0.14,79.5,63.6,49.6,114.0,37.3,Rural,47.2,28.7,36.3
Shamva,Mashonaland Central,2022,June,35.3,630,15,47.6,0.32,0.33,0.39,0.16,70.4,64.2,41.3,134.0,37.0,Rural,46.1,32.6,39.3
Shamva,Mashonaland Central,2022,November,38.3,1173,15,47.4,0.34,0.32,0.37,0.15,71.2,63.0,41.1,143.0,38.1,Rural,45.2,35.3,40.0
Shamva,Mashonaland Central,2023,June,33.5,641,15,47.5,0.35,0.36,0.39,0.17,71.5,63.7,40.5,141.0,37.9,Rural,45.0,38.3,41.8
Shamva,Mashonaland Central,2023,November,38.1,1163,15,48.9,0.35,0.36,0.4,0.16,75.1,64.8,42.6,146.0,37.3,Rural,46.0,33.5,43.9
Shamva,Mashonaland Central,2024,June,37.4,626,15,48.1,0.36,0.37,0.42,0.18,73.8,63.9,42.0,142.0,38.9,Rural,44.0,38.1,41.4
Shamva,Mashonaland Central,2024,November,41.0,1205,16,45.3,0.35,0.35,0.4,0.17,71.1,64.6,41.4,146.0,37.7,Rural,42.5,37.4,45.2
Chikomba,Mashonaland East,2015,June,18.0,3189,16,47.4,0.39,0.08,0.29,0.19,76.3,76.3,54.7,68.0,9.9,Rural,55.9,20.8,33.8
Chikomba,Mashonaland East,2015,November,23.3,6067,16,46.0,0.35,0.09,0.28,0.19,80.1,75.8,54.3,68.0,9.4,Rural,58.6,18.0,33.6
Chikomba,Mashonaland East,2016,June,19.0,3310,17,46.6,0.39,0.1,0.29,0.2,77.3,78.4,56.7,72.0,9.7,Rural,55.3,23.3,31.0
Chikomba,Mashonaland East,2016,November,25.2,6198,17,47.7,0.37,0.11,0.3,0.21,77.8,77.6,53.8,71.0,9.8,Rural,56.6,19.0,34.3
Chikomba,Mashonaland East,2017,June,19.2,3328,17,47.1,0.41,0.12,0.31,0.22,77.4,75.9,52.5,79.0,9.9,Rural,57.2,25.2,31.1
Chikomba,Mashonaland East,2017,November,24.3,6326,17,46.8,0.39,0.12,0.31,0.21,78.9,76.9,52.5,74.0,9.5,Rural,55.2,19.2,36.5
Chikomba,Mashonaland East,2018,June,20.2,3400,17,45.6,0.4,0.15,0.33,0.21,74.9,77.3,55.5,73.0,9.8,Rural,56.0,24.3,33.4
Chikomba,Mashonaland East,2018,November,25.1,6203,17,45.0,0.41,0.14,0.31,0.22,78.5,78.1,54.0,79.0,9.8,Rural,55.2,20.2,33.5
Chikomba,Mashonaland East,2019,June,21.9,3449,17,46.5,0.42,0.15,0.32,0.22,73.8,78.5,54.2,80.0,9.8,Rural,56.2,25.1,36.1
Chikomba,Mashonaland East,2019,November,28.4,6284,17,45.4,0.4,0.15,0.33,0.22,73.0,77.4,56.0,76.0,10.4,Rural,54.6,21.9,34.3
Chikomba,Mashonaland East,2020,June,15.6,3433,17,50.8,0.4,0.17,0.35,0.23,80.0,76.3,63.5,65.0,10.3,Rural,52.0,28.4,34.4
Chikomba,Mashonaland East,2020,November,21.5,6557,17,50.8,0.39,0.17,0.34,0.23,79.2,78.6,59.7,67.0,10.3,Rural,55.5,15.6,31.2
Chikomba,Mashonaland East,2021,June,18.1,3472,17,49.0,0.42,0.19,0.36,0.24,77.7,77.4,56.7,66.0,10.1,Rural,56.3,21.5,34.9
Chikomba,Mashonaland East,2021,November,22.2,6657,17,48.9,0.4,0.18,0.35,0.24,76.6,78.3,59.5,71.0,10.5,Rural,52.1,18.1,35.3
Chikomba,Mashonaland East,2022,June,22.3,3562,17,43.3,0.45,0.26,0.37,0.25,75.5,79.7,55.5,77.0,10.5,Rural,55.3,22.2,32.1
Chikomba,Mashonaland East,2022,November,27.4,6510,17,44.2,0.45,0.27,0.35,0.25,73.7,79.3,55.6,80.0,10.8,Rural,54.8,22.3,32.4
Chikomba,Mashonaland East,2023,June,22.8,3619,17,43.6,0.47,0.29,0.38,0.25,73.1,77.6,56.4,81.0,10.2,Rural,52.8,27.4,34.4
Chikomba,Mashonaland East,2023,November,27.1,6645,17,44.4,0.47,0.26,0.36,0.25,74.4,77.7,51.7,86.0,10.6,Rural,55.6,22.8,33.9
Chikomba,Mashonaland East,2024,June,26.1,3626,18,43.6,0.5,0.31,0.37,0.25,72.6,77.3,54.1,84.0,10.5,Rural,51.6,27.1,35.2
Chikomba,Mashonaland East,2024,November,27.9,6879,18,45.6,0.5,0.3,0.37,0.25,73.6,77.8,54.2,88.0,10.7,Rural,54.9,26.1,37.2
Goromonzi,Mashonaland East,2015,June,46.1,3635,26,36.2,0.58,0.26,0.47,0.41,44.3,88.2,28.1,215.0,148.2,Semi-Urban,11.8,45.9,60.5
Goromonzi,Mashonaland East,2015,November,53.1,6889,27,34.8,0.58,0.26,0.46,0.41,41.2,88.8,25.5,204.0,148.0,Semi-Urban,11.7,46.1,58.8
Goromonzi,Mashonaland East,2016,June,44.3,3649,27,35.2,0.57,0.25,0.47,0.41,43.7,88.6,25.2,211.0,151.2,Semi-Urban,11.2,53.1,60.4
Goromonzi,Mashonaland East,2016,November,49.6,6972,27,36.4,0.62,0.27,0.5,0.44,41.6,89.2,24.0,221.0,151.8,Semi-Urban,11.3,44.3,59.2
Goromonzi,Mashonaland East,2017,June,45.6,3696,27,34.5,0.59,0.28,0.49,0.44,42.1,89.3,24.0,220.0,147.3,Semi-Urban,11.0,49.6,64.6
Goromonzi,Mashonaland East,2017,November,49.7,6954,27,33.8,0.59,0.28,0.47,0.42,42.9,89.6,27.1,228.0,148.0,Semi-Urban,11.1,45.6,62.1
Goromonzi,Mashonaland East,2018,June,46.2,3875,27,35.5,0.63,0.3,0.49,0.42,40.8,88.6,25.3,215.0,158.4,Semi-Urban,10.8,49.7,64.5
Goromonzi,Mashonaland East,2018,November,52.0,7310,27,35.4,0.59,0.3,0.49,0.44,40.9,90.4,26.5,227.0,156.0,Semi-Urban,11.4,46.2,64.1
Goromonzi,Mashonaland East,2019,June,52.3,3895,27,33.8,0.65,0.33,0.51,0.46,40.5,88.4,26.5,224.0,149.9,Semi-Urban,10.9,52.0,65.3
Goromonzi,Mashonaland East,2019,November,52.9,7159,27,33.6,0.62,0.31,0.51,0.45,41.3,88.1,25.9,227.0,152.6,Semi-Urban,11.0,52.3,66.7
Goromonzi,Mashonaland East,2020,June,45.6,3861,27,37.8,0.62,0.34,0.52,0.43,45.3,87.9,30.2,204.0,163.5,Semi-Urban,11.1,52.9,61.2
Goromonzi,Mashonaland East,2020,November,48.4,7467,27,36.5,0.61,0.33,0.52,0.46,47.5,88.1,30.1,186.0,151.8,Semi-Urban,10.9,45.6,62.3
Goromonzi,Mashonaland East,2021,June,47.1,3929,28,35.9,0.63,0.36,0.52,0.45,45.8,89.8,30.9,212.0,153.3,Semi-Urban,10.8,48.4,61.4
Goromonzi,Mashonaland East,2021,November,52.6,7318,28,35.5,0.63,0.35,0.55,0.47,45.7,89.3,33.4,195.0,158.0,Semi-Urban,11.0,47.1,60.3
Goromonzi,Mashonaland East,2022,June,51.2,4156,28,34.6,0.64,0.44,0.53,0.46,40.1,89.9,24.3,240.0,166.0,Semi-Urban,10.8,52.6,62.7
Goromonzi,Mashonaland East,2022,November,52.4,7683,28,33.7,0.64,0.42,0.56,0.46,40.6,89.8,23.7,228.0,167.1,Semi-Urban,10.7,51.2,64.1
Goromonzi,Mashonaland East,2023,June,49.1,4004,28,34.2,0.67,0.43,0.56,0.48,39.2,90.7,25.5,246.0,162.7,Semi-Urban,11.0,52.4,66.5
Goromonzi,Mashonaland East,2023,November,56.5,7596,28,33.1,0.64,0.42,0.56,0.48,38.6,88.3,26.4,232.0,166.1,Semi-Urban,10.5,49.1,62.4
Goromonzi,Mashonaland East,2024,June,51.8,4098,28,33.0,0.7,0.48,0.55,0.5,39.0,88.7,25.1,258.0,158.7,Semi-Urban,10.4,56.5,66.6
Goromonzi,Mashonaland East,2024,November,54.3,7917,28,33.2,0.68,0.45,0.56,0.49,38.7,88.7,25.1,251.0,161.2,Semi-Urban,10.7,51.8,62.3
Hwedza,Mashonaland East,2015,June,33.2,3130,23,46.6,0.34,0.24,0.18,0.24,84.2,65.4,46.9,69.0,53.9,Rural,49.7,31.4,42.0
Hwedza,Mashonaland East,2015,November,35.8,6016,23,46.4,0.33,0.24,0.19,0.26,83.8,65.4,45.2,73.0,56.1,Rural,48.9,33.2,46.1
Hwedza,Mashonaland East,2016,June,35.0,3314,22,48.9,0.33,0.28,0.2,0.27,84.1,65.7,44.8,70.0,57.2,Rural,47.6,35.8,44.8
Hwedza,Mashonaland East,2016,November,39.7,5909,23,49.3,0.36,0.26,0.19,0.25,78.6,65.2,45.8,76.0,57.2,Rural,46.2,35.0,46.8
Hwedza,Mashonaland East,2017,June,35.1,3318,23,48.8,0.37,0.28,0.2,0.26,83.7,65.2,42.4,77.0,58.8,Rural,48.4,39.7,46.3
Hwedza,Mashonaland East,2017,November,41.6,6209,23,47.3,0.36,0.28,0.19,0.26,78.4,65.7,44.4,77.0,56.2,Rural,50.5,35.1,48.1
Hwedza,Mashonaland East,2018,June,35.9,3422,23,46.7,0.36,0.31,0.21,0.29,79.9,66.3,45.0,72.0,58.6,Rural,47.1,41.6,47.2
Hwedza,Mashonaland East,2018,November,39.1,6268,23,46.3,0.37,0.29,0.22,0.27,83.3,65.8,45.0,78.0,56.1,Rural,46.8,35.9,46.3
Hwedza,Mashonaland East,2019,June,38.2,3349,23,46.9,0.4,0.32,0.23,0.29,80.2,66.3,48.1,80.0,60.4,Rural,46.2,39.1,47.9
Hwedza,Mashonaland East,2019,November,41.4,6246,23,47.0,0.38,0.31,0.22,0.3,77.9,66.9,47.2,79.0,57.5,Rural,49.6,38.2,46.0
Hwedza,Mashonaland East,2020,June,28.7,3378,23,51.3,0.35,0.33,0.24,0.29,81.7,66.4,52.6,65.0,57.7,Rural,47.0,41.4,42.4
Hwedza,Mashonaland East,2020,November,36.9,6553,23,48.4,0.37,0.33,0.23,0.31,82.1,67.1,49.9,67.0,59.8,Rural,48.2,28.7,45.0
Hwedza,Mashonaland East,2021,June,30.9,3516,24,47.8,0.37,0.35,0.25,0.3,85.9,66.7,52.2,66.0,61.8,Rural,48.2,36.9,43.6
Hwedza,Mashonaland East,2021,November,37.9,6668,24,49.7,0.37,0.33,0.25,0.3,80.9,68.1,53.2,65.0,57.8,Rural,47.0,30.9,43.2
Hwedza,Mashonaland East,2022,June,35.6,3605,24,46.4,0.4,0.4,0.25,0.32,79.3,65.8,43.7,76.0,60.6,Rural,46.7,37.9,46.7
Hwedza,Mashonaland East,2022,November,39.5,6708,24,44.1,0.42,0.44,0.26,0.31,78.3,67.7,43.9,83.0,59.7,Rural,48.0,35.6,46.7
Hwedza,Mashonaland East,2023,June,37.4,3627,24,44.2,0.43,0.44,0.26,0.31,80.8,68.2,47.1,84.0,60.6,Rural,47.2,39.5,50.5
Hwedza,Mashonaland East,2023,November,43.6,6656,24,46.2,0.45,0.45,0.26,0.31,78.6,67.0,47.2,84.0,63.0,Rural,44.4,37.4,49.9
Hwedza,Mashonaland East,2024,June,38.3,3683,24,45.9,0.46,0.46,0.26,0.33,77.4,67.6,47.6,80.0,63.1,Rural,44.5,43.6,46.9
Hwedza,Mashonaland East,2024,November,43.8,6734,24,45.1,0.43,0.46,0.28,0.32,78.6,67.4,44.1,83.0,64.2,Rural,43.7,38.3,48.7
Marondera Urban,Mashonaland East,2015,June,57.0,27260,75,22.1,0.61,0.6,0.74,0.8,23.7,95.3,22.8,287.0,635.4,Urban,2.6,58.2,63.5
Marondera Urban,Mashonaland East,2015,November,63.7,52904,75,20.9,0.62,0.61,0.79,0.83,23.7,96.6,24.8,267.0,679.8,Urban,2.7,57.0,67.0
Marondera Urban,Mashonaland East,2016,June,56.6,28241,76,22.1,0.65,0.57,0.79,0.86,22.8,94.4,23.2,290.0,684.0,Urban,2.5,63.7,64.8
Marondera Urban,Mashonaland East,2016,November,59.2,51979,76,21.1,0.67,0.58,0.8,0.84,23.3,95.4,25.8,284.0,685.2,Urban,2.6,56.6,64.0
Marondera Urban,Mashonaland East,2017,June,55.8,28099,76,20.9,0.68,0.61,0.79,0.87,23.0,97.8,22.4,280.0,690.8,Urban,2.4,59.2,64.9
Marondera Urban,Mashonaland East,2017,November,62.2,53289,77,21.7,0.68,0.62,0.77,0.84,23.8,95.7,22.5,270.0,660.1,Urban,2.4,55.8,67.6
Marondera Urban,Mashonaland East,2018,June,60.4,28879,78,20.9,0.66,0.61,0.78,0.88,22.4,96.4,23.1,283.0,672.0,Urban,2.6,62.2,69.0
Marondera Urban,Mashonaland East,2018,November,66.1,54558,77,20.6,0.65,0.62,0.81,0.86,22.1,95.9,21.9,275.0,697.4,Urban,2.5,60.4,66.1
Marondera Urban,Mashonaland East,2019,June,64.9,29841,79,20.3,0.72,0.66,0.78,0.87,22.6,96.3,24.5,296.0,713.8,Urban,2.6,66.1,69.4
Marondera Urban,Mashonaland East,2019,November,62.4,54282,77,21.5,0.71,0.66,0.8,0.83,22.7,95.1,23.2,282.0,701.7,Urban,2.4,64.9,70.4
Marondera Urban,Mashonaland East,2020,June,55.0,29967,79,22.5,0.7,0.65,0.83,0.84,27.3,97.9,29.6,258.0,671.8,Urban,2.6,62.4,65.7
Marondera Urban,Mashonaland East,2020,November,56.7,55285,78,22.0,0.65,0.67,0.81,0.83,27.4,98.2,29.2,270.0,693.3,Urban,2.5,55.0,66.3
Marondera Urban,Mashonaland East,2021,June,59.5,30991,79,21.6,0.66,0.68,0.81,0.83,25.6,96.0,29.2,249.0,689.3,Urban,2.4,56.7,62.7
Marondera Urban,Mashonaland East,2021,November,62.3,55413,79,22.8,0.69,0.73,0.85,0.86,27.2,98.7,28.9,254.0,704.3,Urban,2.4,59.5,67.5
Marondera Urban,Mashonaland East,2022,June,57.6,30714,80,21.0,0.71,0.73,0.86,0.9,21.1,98.3,22.8,322.0,686.4,Urban,2.4,62.3,69.8
Marondera Urban,Mashonaland East,2022,November,69.1,58248,79,19.8,0.73,0.77,0.86,0.9,21.6,95.4,23.1,305.0,716.7,Urban,2.5,57.6,69.2
Marondera Urban,Mashonaland East,2023,June,59.6,31945,80,20.1,0.74,0.74,0.82,0.88,20.1,98.9,25.1,310.0,691.1,Urban,2.4,69.1,67.7
Marondera Urban,Mashonaland East,2023,November,68.2,56928,80,19.6,0.76,0.79,0.84,0.84,20.2,99.2,22.7,322.0,702.1,Urban,2.3,59.6,69.7
Marondera Urban,Mashonaland East,2024,June,63.1,31237,81,20.1,0.79,0.84,0.84,0.85,20.0,96.3,23.2,328.0,739.3,Urban,2.5,68.2,69.1
Marondera Urban,Mashonaland East,2024,November,70.2,60017,81,19.9,0.75,0.81,0.87,0.93,19.8,96.5,23.9,314.0,712.3,Urban,2.4,63.1,67.2
Marondera Rural,Mashonaland East,2015,June,20.4,743,30,54.5,0.16,0.23,0.43,0.24,58.9,66.1,46.0,73.0,8.1,Rural,56.2,22.2,42.6
Marondera Rural,Mashonaland East,2015,November,27.1,1463,30,54.1,0.16,0.24,0.44,0.23,56.1,67.8,44.9,78.0,8.0,Rural,57.2,20.4,48.0
Marondera Rural,Mashonaland East,2016,June,21.2,786,29,55.8,0.18,0.26,0.45,0.25,57.4,67.5,44.4,78.0,8.3,Rural,57.5,27.1,46.5
Marondera Rural,Mashonaland East,2016,November,27.4,1442,30,54.5,0.17,0.25,0.46,0.23,56.2,66.9,46.7,73.0,8.5,Rural,53.6,21.2,44.2
Marondera Rural,Mashonaland East,2017,June,23.4,797,30,55.2,0.19,0.27,0.44,0.25,54.3,68.0,50.8,81.0,8.4,Rural,56.5,27.4,46.3
Marondera Rural,Mashonaland East,2017,November,26.7,1457,30,53.9,0.19,0.28,0.45,0.25,57.6,67.4,45.0,75.0,8.5,Rural,53.3,23.4,48.3
